Prompt;Accepted;Rejected;;
Recommended film if you watched:Children of Paradise (Les enfants du paradis) (1945);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:High Plains Drifter (1972);Wild Bill (1995)-Legends of the Fall (1994)-Quick and the Dead, The (1995)-Maverick (1994)-Wyatt Earp (1994);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Hang 'em High (1967);Wild Bill (1995)-Legends of the Fall (1994)-Quick and the Dead, The (1995)-Maverick (1994)-Wyatt Earp (1994);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Citizen's Band (a.k.a. Handle with Care) (1977);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Drunken Master (Zui quan) (1979);Toy Story (1995)-Father of the Bride Part II (1995)-Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-Tom and Huck (1995);;
Recommended film if you watched:Conformist; The (Il Conformista) (1970);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Hairspray (1988);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Brief Encounter (1946);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Razor's Edge; The (1984);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Reds (1981);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Return with Honor (1998);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Time of the Gypsies (Dom za vesanje) (1989);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Days of Heaven (1978);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Fire Within; The (Le Feu Follet) (1963);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Love Bewitched; A (El Amor Brujo) (1986);Misérables, Les (1995)-Muppet Treasure Island (1996)-Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)-Farinelli: il castrato (1994)-Backbeat (1993);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Lady Eve; The (1941);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:Sullivan's Travels (1942);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Palm Beach Story; The (1942);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);
Recommended film if you watched:Man Facing Southeast (Hombre Mirando al Sudeste) (1986);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Niagara (1953);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Gilda (1946);Force of Evil (1948)-Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)-Crossfire (1947)-Raw Deal (1948)-T-Men (1947);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:South Pacific (1958);Richard III (1995)-Pocahontas (1995)-Braveheart (1995)-Rob Roy (1995)-Beyond Rangoon (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Flashdance (1983);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Indochine (1992);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Dirty Dozen; The (1967);Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Get Shorty (1995)-Richard III (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Mike's Murder (1984);Confessional, The (Le Confessionnal) (1995)-Before and After (1996)-Manhattan Murder Mystery (1993)-Rising Sun (1993)-Hour of the Pig, The (1993);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Help! (1965);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Goldfinger (1964);Sudden Death (1995)-Money Train (1995)-Fair Game (1995)-Bad Boys (1995)-Under Siege 2: Dark Territory (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:From Russia with Love (1963);Sudden Death (1995)-Money Train (1995)-Fair Game (1995)-Bad Boys (1995)-Under Siege 2: Dark Territory (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Dr. No (1962);Sudden Death (1995)-Money Train (1995)-Fair Game (1995)-Bad Boys (1995)-Under Siege 2: Dark Territory (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Blue Lagoon; The (1980);Jumanji (1995)-Grumpier Old Men (1995)-Sabrina (1995)-Tom and Huck (1995)-GoldenEye (1995);Toy Story (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sudden Death (1995);
Recommended film if you watched:Fistful of Dollars; A (1964);Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Get Shorty (1995)-Dead Presidents (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Hard 8 (a.k.a. Sydney; a.k.a. Hard Eight) (1996);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Home Alone 2: Lost in New York (1992);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-Babe (1995);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995)-Tom and Huck (1995);;
Recommended film if you watched:Penitentiary (1979);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Penitentiary II (1982);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Someone to Watch Over Me (1987);Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Casino (1995)-Four Rooms (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Sparrows (1926);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Naturally Native (1998);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Fight Club (1999);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Beefcake (1999);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Story of Us; The (1999);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);
Recommended film if you watched:Fever Pitch (1997);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Joe the King (1999);Waiting to Exhale (1995)-Heat (1995)-Nixon (1995)-Get Shorty (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Sabrina (1995);;
Recommended film if you watched:Julien Donkey-Boy (1999);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Omega Code; The (1999);Sudden Death (1995)-Money Train (1995)-Fair Game (1995)-Bad Boys (1995)-Under Siege 2: Dark Territory (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Straight Story; The (1999);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Bad Seed; The (1956);Heat (1995)-GoldenEye (1995)-American President, The (1995)-Casino (1995)-Sense and Sensibility (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Time Bandits (1981);Jumanji (1995)-Tom and Huck (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Powder (1995);Toy Story (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Man and a Woman; A (Un Homme et une Femme) (1966);Grumpier Old Men (1995)-Sabrina (1995)-American President, The (1995)-Cutthroat Island (1995)-Casino (1995);Toy Story (1995)-Jumanji (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Fitzcarraldo (1982);Jumanji (1995)-Waiting to Exhale (1995)-Tom and Huck (1995)-GoldenEye (1995)-Nixon (1995);Toy Story (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:All That Jazz (1979);Misérables, Les (1995)-Muppet Treasure Island (1996)-Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)-Farinelli: il castrato (1994)-Backbeat (1993);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Red Sorghum (Hong Gao Liang) (1987);American President, The (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995)-Powder (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Crimes and Misdemeanors (1989);Toy Story (1995)-Father of the Bride Part II (1995)-Ace Ventura: When Nature Calls (1995)-It Takes Two (1995)-Mighty Aphrodite (1995);Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Heat (1995)-Sabrina (1995);;
Recommended film if you watched:Bats (1999);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Best Man; The (1999);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);
Recommended film if you watched:Bringing Out the Dead (1999);American President, The (1995)-Dracula: Dead and Loving It (1995)-Casino (1995)-Sense and Sensibility (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Crazy in Alabama (1999);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Three to Tango (1999);Grumpier Old Men (1995)-Waiting to Exhale (1995)-Sabrina (1995)-American President, The (1995)-Dracula: Dead and Loving It (1995);Toy Story (1995)-Jumanji (1995)-Father of the Bride Part II (1995)-Heat (1995)-Tom and Huck (1995);;
Recommended film if you watched:Body Shots (1999);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Men Cry Bullets (1997);Waiting to Exhale (1995)-Nixon (1995)-Get Shorty (1995)-Othello (1995)-Now and Then (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Father of the Bride Part II (1995)-Heat (1995);;
Recommended film if you watched:Brother; Can You Spare a Dime? (1975);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Guardian; The (1990);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:Ipcress File; The (1965);Heat (1995)-GoldenEye (1995)-Casino (1995)-Four Rooms (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);
Recommended film if you watched:On Any Sunday (1971);Across the Sea of Time (1995)-Nico Icon (1995)-Heidi Fleiss: Hollywood Madam (1995)-Catwalk (1995)-Anne Frank Remembered (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
Recommended film if you watched:Robocop (1987);Heat (1995)-GoldenEye (1995)-Cutthroat Island (1995)-Get Shorty (1995)-Copycat (1995);Toy Story (1995)-Jumanji (1995)-Grumpier Old Men (1995)-Waiting to Exhale (1995)-Father of the Bride Part II (1995);;
